f_id,i_id,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.min,disp.ratio_mean_05,disp.diff_mean_25,ela_level.lda_qda_10,ela_level.mmce_lda_10,disp.diff_median_25,disp.diff_mean_02,ic.eps.ratio,ela_level.lda_mda_25,disp.diff_median_10,disp.ratio_median_02,ela_level.lda_qda_50,disp.ratio_mean_02
9,3,0.015320986988216276,0.061787916803126404,-0.016510630864996777,0.022483179615364918,0.05285816405942982,0.010393983941953946,0.007966125112163809,0.00240134360012861,0.005989706579956716,-0.020345368011699595,-0.004714304529483775,-0.000179056746710327,0.047583689030290706,-0.029712741546022586,-0.012186435843223396
9,5,0.016634549439109428,0.06402956434934838,-0.024848071987300893,0.018180858646734674,0.047544746755929575,-0.0067985829085664175,0.00828556609118815,0.002132534366613283,0.0030454531579295523,-0.020282331387888125,-0.007285188756891089,0.0034709325592304835,0.04723224209618019,-0.021130845793150492,-0.004806186569581555
10,1,0.4774069374325655,0.14236190347875446,0.29774094853934874,0.0509540120195788,-0.0030082116674209655,0.40288607104705393,0.3226088389215642,0.18841497592702927,0.27212288721420785,0.305117813255459,0.11530161655249223,0.03626674776617994,0.15369443341979827,-0.026552082181388274,0.31317364340905474
10,2,0.46951850776177845,0.13799711482698918,0.28926779982706335,0.04838601821349777,-0.003417671406784013,0.4022591257570845,0.33427091808019405,0.16925242866322876,0.26934023083251074,0.2980866728263204,0.11646124896904893,0.03684318864190792,0.15385767973162742,-0.026611130025966937,0.3126264016887916
10,3,0.10733388587378064,0.1798289749618479,0.15584641231010324,0.005463726079086022,0.03873896745358181,0.026944324915498953,0.23998090458223098,0.17593329439204425,0.3437025820358147,0.3448911840157409,0.21051408604617514,0.03353862588275627,0.11772029076047845,0.48438077306872185,0.1582942531437728
10,5,0.09758170859484734,0.17660686195029257,0.11069640395985815,-0.0035263825191567803,-0.004080940547992419,0.01151407817416919,0.20552874371414226,0.18254638459111305,0.2565631961196263,0.30050570803344034,0.210045297009666,0.03602755114730774,0.19820846231440403,0.5635287180493406,0.18392360492600798
11,1,0.030680067511308074,0.07358510827553642,0.0746970573563915,0.05225405963481192,-0.008213030204284866,0.0373758533491958,-0.04146097951290675,0.09749930629181949,0.16715803011050534,0.1107529400946315,0.11698687070136006,0.011398299554140314,0.010333035946851064,0.5096510215393197,0.03537813487201649
11,2,0.030345492892649237,0.07754121856175793,0.025605894420605506,0.05237047354728501,0.007968311689650665,0.03364138326099429,-0.02872388594487895,0.09606832218445278,0.16410141088173708,0.1204020118756947,0.1139406602983608,0.010886248532367034,-0.001196545856252353,0.5087164151937671,0.03128098282490091
11,3,0.02351063353383075,0.14612008558728723,0.15761050311016345,0.09224015046214787,-0.017984348273554728,0.031359978063205625,-0.058273652757445615,0.08369897075456036,0.19502784378905802,0.24812628092700076,0.1196820066238873,0.01272364480337091,0.08320421647656426,-0.016761587450330115,0.06305058743998618
11,5,0.030342068746650453,0.07625488515077687,0.07602048065085272,0.05512405045873835,-0.007830870975220396,0.03636283911633219,-0.04112797643678556,0.09749930629181949,0.16943220685863652,0.1066923166548265,0.11730016347910295,0.010651332212259584,0.010432212554667013,0.5112509035939138,0.03506094158871523
12,1,0.1479042277173356,0.037349669113947895,0.025777478194171085,-0.04011214630108152,0.028270057065669624,-0.12286684146078623,-0.037664959137073475,0.008677191529759095,-0.0006425691594073562,0.04474857076904323,-0.01639096315058194,-0.03902085569661567,-0.00021668806846014314,-0.039723596023632034,-0.12448777498186672
12,2,0.1458408344060137,0.044075412400070055,0.04341222669118137,-0.038472824263771126,-0.05362539317716642,-0.08568629128961704,-0.0458980412773169,-0.013683231827915115,-0.04685771447371947,0.03501447772713951,-0.0206863600232904,-0.020285774950258302,0.023110389424316573,-0.033937560121917995,-0.12103465710156185
12,3,0.2008363148859585,0.04689560913808845,0.05054876627748798,-0.04281451573700932,-0.05173951091869178,-0.06537175182730769,-0.052708985146279475,-0.027246972779977317,-0.02344391751102247,0.0764621191628801,-0.02910566001091078,-0.06385703764410589,-0.08559329014616124,-0.02193318086731676,-0.11311717844795496
12,5,0.15990137745921276,0.04051625618609,0.04830613090292555,-0.01808796960309543,0.03580043068910507,-0.02090913911198948,-0.03301994612440941,0.018791747922905014,0.011646433183717038,0.05801925918299823,0.014041537498074413,-0.01854406411823468,0.03861282963625594,-0.014726529534309366,-0.11244839055168436
13,1,0.031947966255529286,-0.0035658011780926964,0.00403851844430407,0.03732048860701834,0.05330691168788556,-0.07710479714040605,-0.02860525629911595,0.015328618262906551,0.01857888414164933,-0.005417789102216982,-0.012880754627951307,0.05503815475288451,0.0405981376886063,-0.024644508465625513,-0.03899380017486068
13,2,0.05312197255568937,0.005118754342039543,0.004487350475844454,0.025831679489160046,0.05203264969477061,-0.09804978195171218,-0.03011540309683174,0.004076151920309545,-0.020369128367312583,-0.01445441275489533,-0.01014264101546462,0.049698435703040555,-0.03516242485848406,-0.01919736240497718,-0.011581615297371789
13,3,0.01173946057652665,0.005005976976984685,0.0032809668642726905,0.03789355800504635,0.0475535862385391,-0.05153284154888337,0.013764060751195786,0.013018297112510884,0.01571130138890861,-0.012784891221254948,-0.019195424428160444,0.027666710132969053,0.03764729661938012,-0.01047743990137848,-0.033268966785244505
13,5,0.01753655614626415,-0.003781611018914813,-0.010051238380229583,0.035163058641789584,0.04619541911053768,-0.062404880802333904,0.05949160478978713,-0.015309828965637508,0.017928321504299703,-0.02577478107648796,-0.021210853438582235,0.018233866421204486,0.02472896462434699,-0.009491876313688679,-0.03821240172477275
14,1,-0.04523539429563381,-0.004913294080273802,-0.011374770323723252,-0.036646450514234145,-0.06652536013283947,-0.05522281480837368,-0.0534052713185733,-0.043792305938379836,-0.15976943202368107,0.005908117066267534,-0.05866379518847784,-0.05421815922995158,-0.07427512133709799,-0.044207870866896,-0.10070678293600224
