f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_25,ic.eps.max,ela_level.lda_qda_25,ela_level.lda_mda_25,pca.expl_var_PC1.cor_init,ela_distr.kurtosis,ic.h.max,ela_meta.quad_simple.adj_r2
8,3,0.24529997167391832,0.2127306214797582,0.062418439865877806,-0.05667137085163376,0.236749086831397,0.21688305134229535,0.14428684559650973,-0.17421401592733993,-0.05298518512896033,-0.05772887027429768,-0.03909569084668307,0.23967132142306546,-0.05252224081993895,-0.011654206475061213,-0.2525372044109655
8,5,0.215865554724625,0.1826941444392426,0.05866876840867208,-0.05596140423385476,0.2359407849327122,0.21804554342538163,0.16290991306304292,-0.13038883942379031,-0.05290366705745153,-0.0662920237178613,-0.05614588506683316,0.28588253954825227,-0.04886639268417453,0.02730960768062929,-0.22855178502947748
9,1,0.26651559774679223,0.26744980462779633,0.0,-0.05899653246468339,-0.01286089704386384,-0.06996843941492706,0.2984739359172555,0.25331360804671793,-0.048660322292652464,-0.07237124934502968,-0.09977180575461596,-0.32521160870331856,-0.020567991595913715,-0.059840558276683886,0.14815573210285116
9,2,0.25974030211835836,0.2566057636245234,0.0,-0.05169066580205611,-0.013251494450436274,-0.07028812648501397,0.2739947748706382,0.25068924760513644,-0.048553437082969164,-0.07571548856453117,-0.1014880073754291,-0.3308591431661577,-0.019427120901179623,-0.059014034463367684,0.1274167902766669
9,3,0.2812975610801595,0.2816123057292385,-0.010379910741152243,-0.05224745596241065,-0.015064314658968625,-0.07303003942830794,0.30877635695640054,0.25879082054989533,-0.04593435706865265,-0.0747369033511347,-0.09686382889573492,-0.33376358324780997,-0.0213699612746078,-0.06056887137805039,0.15819418226145326
9,5,0.2741343016276484,0.27558549002832017,-0.008546034554852311,-0.03603878409341971,-0.017088846886542775,-0.0774683230011603,0.29751287803166426,0.27209719370918184,-0.04573660465089219,-0.07186034899299582,-0.09981307862902528,-0.2677697305114442,-0.01882556203575539,-0.05314500989959528,0.14204510058409547
10,1,0.6741352392093646,0.6606911758888769,-0.1134767979187905,-0.025147012033288618,0.029423564954158765,0.031358806427600694,0.1307967607496039,-0.041642226434896346,0.03913236519123031,0.3233844429805124,0.24875130810858526,0.31341546137333753,-0.017751193850555902,0.03803394127604598,-0.03920747634202604
10,2,0.7238237151100743,0.7112463241922682,-0.08350827072800282,-0.020271730781101116,-0.1988252965551457,-0.13746109237000792,0.14740715910676627,-0.0421758826771752,0.04003037102064777,0.4667079759569641,0.3059347451213781,0.2703269103479151,-0.017626738558198074,0.07951449107190323,-0.030511129265464287
10,3,0.6294772455926065,0.6156767965933282,-0.10761517527222586,0.0,0.03937183751614248,0.016093090935654364,-0.04480131139386612,0.07940228974650498,0.015524057761534538,0.3380650659995308,0.4097462146772748,0.10514033185532634,0.0,-0.02467950787997153,0.14298175193039375
10,5,0.6621578124157312,0.6417615117600002,-0.06794118049299402,-0.012832493514800425,0.04039770599223813,0.033225747479402434,0.0,0.11580057947516798,0.0034522346438965457,0.28199164141152466,0.42721110780972615,-0.22200740771792937,0.0,-0.03389803547380188,0.2336753365377784
11,1,0.5019150859901381,0.49489241973780945,-0.10359283707644015,-0.023085339267858898,0.03734405358814992,0.030386981042237228,-0.5433855219383358,0.007828128330229084,-0.013460949032673444,0.0784918228360956,0.08455283653755269,-0.30905996191191465,-0.014300913954504176,-0.06221702575637468,0.06866541855387143
11,2,0.40366602901099763,0.4025807201285377,-0.11434595178986151,-0.021143410019861773,0.03283714821875711,0.01013833652774207,-0.45565115220685204,0.023837434246356197,-0.013822856959774824,0.023618057644112227,-0.029587279897029743,-0.3183638963052654,-0.027084336192612787,-0.06780939311122733,0.07291995677726693
11,3,0.32458707991553554,0.3123943269461624,-0.1258733403458468,-0.015454985979960006,0.02884815406628142,0.008883256856331498,-0.32984915137916393,-0.0047045930341403225,-0.013125787717745162,-0.15051475062033323,0.08689024522082245,0.11433579866078084,-0.01019037216368092,-0.07058849140801539,0.05273914627593479
11,5,0.49598253543239323,0.4897899354220719,-0.11656626648866286,-0.0257847090388256,0.03234564915258345,0.021342475740004495,-0.45482177115127337,0.018722883370542454,-0.012866855636076547,0.07025702050393168,0.0757635801494827,-0.3384088802837705,-0.01470127012883662,-0.06641943783469036,0.09291442776526704
12,1,0.6155911622325649,0.7473493490356016,0.186976880445473,0.05399863406120575,0.07040262722239721,0.06171864678885974,0.1247464027098113,0.04172491408784351,0.8890645342347305,0.02905427342274125,0.04289988503536968,0.028464113782970202,0.5072474543777521,0.5080456480982025,0.30193629310298675
12,2,0.6011972340018605,0.7204430337411882,0.13105953473439946,0.03269529096949242,0.10796161150896011,0.1003794949961696,0.13997923107719545,0.05198275706798894,1.0179954754758431,0.02682723034521506,0.05008826338106376,0.08806874495255501,0.3494035492033918,0.5111400697009181,0.20649496570554682
12,3,0.5744444357372536,0.6669191841605362,0.26266084566980386,0.03127908805538704,0.07193442853871179,0.11164025638219988,0.07764798550107432,0.11064207131294124,1.0923273163941354,0.041742810655091,0.06282014952250714,0.02448534694553306,0.5858893917975794,0.6649035281000308,0.2594047755830555
12,5,0.5609140407805482,0.693775607983754,0.21375898531881443,0.03930156361967807,0.08394172336312478,0.11048693832904077,0.13135824525152184,0.04945374980455597,1.0216289023497236,0.020848954940899667,0.0586036248628341,0.04796626017196859,0.40377093434144307,0.5391179582015617,0.25454332440655536
13,1,-0.028608584817045896,-0.07278509581075049,-0.06251332037757834,-0.05116575020532377,0.23860149116116602,0.2031785465944579,0.12775873662623027,-0.3036154689554673,-0.04791329919198056,0.03037895634478105,-0.008630811171854824,0.4855500323292704,-0.0503590481587157,0.17547818362319162,-0.08432144616008075
13,2,-0.02675277065715609,-0.06916397808524374,-0.09493712085970218,-0.04989969934036273,0.2104238923253367,0.18541033156015785,0.09028119036791993,-0.35199732850039156,-0.04815052239154827,0.01755051739539895,-0.010298989573337886,0.48212272293945985,-0.056299377490404895,0.16025630932248233,-0.10339648651490418
13,3,-0.038685643437637196,-0.0889786604902098,0.09631977419743082,-0.05058064585853761,0.09836665711091946,0.12987783370522032,0.16371360751305986,-0.01799583059496268,-0.04178785237088528,0.09680229148209696,0.008880525206524326,0.3164296731486793,-0.0411632057138277,0.226485556256115,-0.028942851774546474
13,5,-0.038295809888182486,-0.08835353617557964,0.1261425176665859,-0.05775880323868454,-0.12840846310725215,-0.0838646064208802,0.15704382274982778,0.15701078134143578,-0.043327855377082475,0.07192378643621339,-0.0034621983184817684,0.24324140285140017,-0.03892433766419215,0.18673960902641612,-0.058119652509028674
14,1,-0.2499940412359286,-0.22418572108640655,-0.3345085664967913,-0.07101453498484789,0.13075006039962722,0.08671762321625731,0.08843755032140355,-0.2703536630924529,-0.0680784059438797,-0.02839945472743355,-0.01159014767108757,0.2815626616523892,-0.052542891271638525,-0.3712847594356071,-0.02305793454714755
14,2,-0.2814657414036621,-0.2514850854493358,-0.3484311908536304,-0.0639322751778918,0.08934742688720948,0.08306978173694834,0.08780916517933068,-0.23143189894888871,-0.06631358737192161,-0.025704832658207,0.016361256244450728,0.26266316142589174,-0.04864351372349085,-0.3846521705719614,0.02397197211130897
14,3,-0.3059950509971549,-0.28249328576689126,-0.26084464773824145,-0.069810941973937,-0.05907009042690259,-0.0014459939351724738,0.16401072609706957,-0.0660693570551043,-0.06072091228914106,-0.019732079115964418,-0.015985703087959324,0.1571516325889361,-0.03740513527423317,-0.2565976900093538,0.10592916177878586
14,5,-0.2428306656060617,-0.20280826297352472,-0.33912320251717376,-0.0644726786031734,0.12457959100166338,0.06640913400920112,0.1094185271212137,-0.268994372076941,-0.06807271701446926,-0.021456410890329236,-0.01288262354284253,0.2351669456428213,-0.04647349269189949,-0.3686226439503828,0.01255266979334646
15,1,-0.08340257044004187,-0.07461903418075022,-0.23750073324863805,-0.05566388905009284,0.037204050939042776,0.05278515318853137,0.2032422293936918,-0.05760451266305491,-0.05565415650648738,-0.012097520831889808,-0.020158021336750917,0.2577722932451531,-0.019362868086201315,-0.11742440836353209,0.04974053363559347
