f_id,i_id,ic.eps.s,ic.eps.ratio,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_level.lda_qda_10,pca.expl_var.cor_init,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,nbc.nb_fitness.cor,ela_distr.kurtosis,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_level.qda_mda_10,ela_distr.skewness
10,5,0.6350392437808021,0.5936234294562537,0.15498532893125794,0.09441072904421333,0.15018271234893388,0.2255050782544612,0.2644840093164045,0.004977116219111011,0.04297873597244761,0.07741039400853289,0.03248580915545918,0.06489499304114377,0.030038196632974357,0.6320070522026886,0.10302890768207318
11,2,0.28788992641698324,0.268368669235751,0.09262674619000144,0.03118432399298937,-0.36407040436182525,0.17064003574922787,0.07650221313242422,0.0,0.03210776953898686,0.031187430385875736,0.014348234015404027,0.03702209285214453,0.013282491100709892,0.32199149991881104,0.03266222974129129
11,3,0.43962682704686795,0.40945149347699944,-0.6725950005953618,-0.033344149847987836,0.1373445324793242,0.20344868744790356,0.10878973031673778,0.0,0.032666588385697026,0.05045291029121013,0.010409616580965064,0.04007651961983194,0.036693736878802174,0.4845464389425773,0.043837988086063095
11,4,0.25392824857129637,0.2406222203991496,-0.4652476182120281,0.035816450102709396,-0.012121075624775768,0.49512273637904436,-0.020427175284405963,0.026959931362403156,0.03300032121372226,0.036820993435822236,0.014461548494733023,0.04274103423194475,0.02801063338198634,0.44414024569824073,0.020966068156550444
11,5,0.3218585053017243,0.30399777492366764,0.11305698447716717,0.056673145690162574,-0.4787305425821215,0.20378710083255036,0.08459079257782831,0.0,0.029810476319530044,0.03956478982642908,0.012585215452450615,0.03306940047680729,0.016965832891227883,0.36660462652696657,0.046187843942636864
12,2,0.027590997101115664,-0.03611868897352681,0.054897550994370534,-0.05342368278961493,-0.19676040866437758,-0.05587472410246666,0.07881518740809372,-0.03125763465985218,0.009467280565636282,-0.03465176040881118,0.0,0.022221406512768244,-0.01688415451119546,-0.029153056101376,0.08400330088340968
12,3,0.0,0.0,0.019835568973856403,-0.04437583111188817,-0.09543136848087581,-0.022911449700281472,0.012537870056645334,0.020506456217022517,0.0044278773220527146,-0.05885395623521483,0.0,0.014494522258800976,-0.010518301963079235,0.0,-0.028997699235058128
12,4,0.02618056451025194,0.015966227614683554,0.031026445194146393,-0.026493675356804944,-0.05555091217314985,-0.03184607212984066,0.029433973951711146,0.041850162158503415,0.00798863595630081,-0.037970102477695146,0.05356140622569683,0.019231980731958427,-0.0066934226340681045,-0.011122483052851875,0.001960994701023941
12,5,0.04815639956393766,0.033612604560112586,0.02924791983041282,0.0,-0.06871377029814191,-0.017632133306767023,0.03559855903470216,0.06747434787956919,0.006937686034270613,-0.013691812138671808,0.08857480238335755,0.016881760983429098,0.0,-0.0076101418746719746,0.05453336410600179
13,2,-0.03623301475683274,-0.001166970152202268,-0.005610485709826363,0.13576551002124426,-0.026746648510669435,-0.05714020054571062,-0.03952921492791128,-0.2361613004968936,0.00355016435374432,-0.05810460014543428,-0.028918380661615145,0.05518664706790043,-0.01606649728979212,0.029043876952867323,-0.0694155652086687
13,3,-0.08327798245592676,-0.03985877450981746,-0.09346099699617506,0.011114246795145069,0.3728505843594602,-0.07149681245608806,0.05771816705811554,-0.17277621982124625,0.0069359469443296615,-0.02124340893012485,-0.031945483887681446,0.06562792218917865,-0.03141107859546661,0.06614365132411396,-0.10016793973443397
13,4,-0.08429519091214838,-0.041205106453788,-0.09036193242744475,0.0,0.3603323804125142,-0.0736811254248998,0.06794792172161881,-0.16645981807982474,0.005609994730388833,-0.017563768099693233,-0.028957770308647185,0.06790578980169798,0.0,0.07080950256305799,-0.10165999685152402
13,5,-0.07596994180488342,-0.03169788290707801,-0.1006019632255121,-0.0029806865080641565,0.3793731754621895,-0.059659457065628876,0.06872733020803921,-0.12178122087208922,0.00678374496117045,-0.008966330577489412,-0.030587113549874992,0.06907487685398825,-0.02917805867379479,0.07107644899187668,-0.0951165871003023
14,2,-0.08123753191710659,-0.07374619578704569,0.010874138589005544,0.05860398870912614,-0.3030299444359784,-0.053269726329975814,0.05825769598850544,-0.25587958584148435,0.0025599593585796665,-0.07730563313783118,-0.01968682026152757,0.03579658088013421,-0.027340501436413256,0.030819888020407832,-0.010538910278372837
14,3,-0.18779727452934442,-0.1863423923618755,-0.10430275169578374,0.011094632747436828,0.06822051108143207,-0.13026564560505532,0.02951403578001488,-0.18260029679402945,0.0035310174981863784,-0.09214343572492345,-0.02100352817432022,0.04221714376151231,-0.02820895922969846,0.09035950347597194,0.002504207269930614
14,4,-0.18445850396470104,-0.19500363170510893,-0.088821676535209,0.01975044137062021,-0.017086928718015537,-0.14395478606459888,0.03233772749592334,-0.228359697705526,0.0019103613483376636,-0.09592658688131273,0.00839232507791865,0.04259393720158777,0.01571806278241661,0.08430052066936752,0.0628565472916981
14,5,-0.06932168400658545,-0.05995709557382839,0.003068060988244803,0.06001767882305453,-0.2233953031250428,-0.08188244293435493,-0.010532180050995377,-0.26530953132149226,0.00222066625950057,-0.09020911864423953,-0.018222398847004606,0.04545684519940135,-0.02690158058084441,0.008258005095186483,0.0036536292745932286
15,2,0.020175746235261194,-0.004453186459689812,0.024558660462612292,0.0872259768959307,-0.04019901532073836,-0.02792245024252943,0.12071595890659925,-0.0987317354958891,0.014060340173638386,-0.04053222480058527,0.26540134944350446,0.06446874213411208,0.049104542147378916,0.11699362212694789,0.3052192884285785
15,3,0.0524555182898479,0.02393153669285017,0.052617839168370706,0.10955819158199878,-0.17936964190309979,-0.009597543172459422,0.09704836200812161,-0.09919664851101215,0.013418794308502013,-0.032933719147099,0.2149307733630498,0.0605889293576741,-0.025219944554118523,0.09026193143606412,0.35330538405519474
